NFL_PlayID,game_id,home_team,away_team,OffensiveTeam,OffensiveTeam_type,DefensiveTeam,side_of_field,yardline_100,game_date,quarter_seconds_remaining,half_seconds_remaining,game_seconds_remaining,game_half,quarter_end,Team Drive,Scoring Play,qtr,down,goal_to_go,Game time (MM:SS:00),yrdln,ydstogo,Yards gained on Drive,desc,play_type,yards_gained,shotgun,no_huddle,qb_dropback,qb_kneel,qb_spike,qb_scramble,pass_length,pass_location,air_yards,yards_after_catch,run_location,run_gap,field_goal_result,kick_distance,extra_point_result,two_point_conv_result,home_timeouts_remaining,away_timeouts_remaining,timeout,timeout_team,td_team,posteam_timeouts_remaining,defteam_timeouts_remaining,total_home_score,total_away_score,posteam_score,defteam_score,score_differential,posteam_score_post,defteam_score_post,score_differential_post,Expected Points,Win Probability,punt_blocked,first_down_rush,first_down_pass,first_down_penalty,third_down_converted,third_down_failed,fourth_down_converted,fourth_down_failed,incomplete_pass,interception,punt_inside_twenty,punt_in_endzone,punt_out_of_bounds,punt_downed,punt_fair_catch,kickoff_inside_twenty,kickoff_in_endzone,kickoff_out_of_bounds,kickoff_downed,kickoff_fair_catch,fumble_forced,fumble_not_forced,fumble_out_of_bounds,solo_tackle,safety,penalty,tackled_for_loss,fumble_lost,own_kickoff_recovery,own_kickoff_recovery_td,qb_hit,rush_attempt,pass_attempt,sack,touchdown,pass_touchdown,rush_touchdown,return_touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,kickoff_attempt,punt_attempt,fumble,complete_pass,assist_tackle,lateral_reception,lateral_rush,lateral_return,lateral_recovery,passer_player_name,receiver_player_name,rusher_player_name,lateral_receiver_player_name,lateral_rusher_player_name,lateral_sack_player_name,interception_player_name,lateral_interception_player_name,punt_returner_player_name,lateral_punt_returner_player_name,kickoff_returner_player_name,lateral_kickoff_returner_player_name,punter_player_name,kicker_player_name,own_kickoff_recovery_player_name,blocked_player_name,tackle_for_loss_1_player_name,tackle_for_loss_2_player_name,qb_hit_1_player_name,qb_hit_2_player_name,forced_fumble_player_1_team,forced_fumble_player_1_player_name,forced_fumble_player_2_team,forced_fumble_player_2_player_name,solo_tackle_1_team,solo_tackle_2_team,solo_tackle_1_player_name,solo_tackle_2_player_name,assist_tackle_1_player_name,assist_tackle_1_team,assist_tackle_2_player_name,assist_tackle_2_team,assist_tackle_3_player_name,assist_tackle_3_team,assist_tackle_4_player_name,assist_tackle_4_team,pass_defense_1_player_name,pass_defense_2_player_name,fumbled_1_team,fumbled_1_player_name,fumbled_2_player_name,fumbled_2_team,fumble_recovery_1_team,fumble_recovery_1_yards,fumble_recovery_1_player_name,fumble_recovery_2_team,fumble_recovery_2_yards,fumble_recovery_2_player_name,return_team,return_yards,penalty_team,penalty_player_name,penalty_yards,replay_or_challenge,replay_or_challenge_result,penalty_type,defensive_two_point_attempt,defensive_two_point_conv,defensive_extra_point_attempt,defensive_extra_point_conv
36,2018090900,BAL,BUF,BAL,home,BUF,BUF,35,9/9/2018,900,1800,3600,Half1,0,1,0,1,NA,0,12/30/1899 3:00:00 PM,BUF 35,0,80,"S.Hauschka kicks 69 yards from BUF 35 to BAL -4. J.Grant to BAL 20 for 24 yards (L.Pitts). Penalty on BAL-J.Allen, Unnecessary Roughness, offsetting, enforced at BAL 20. Penalty on BUF-L.Pitts, Face Mask (15 Yards), offsetting.",kickoff,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,,,,0,0,0,0.814998476,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,J.Grant,NA,NA,S.Hauschka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,L.Pitts,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAL,24,NA,NA,,0,NA,NA,0,0,0,0
71,2018090900,BAL,BUF,BAL,home,BUF,BAL,80,9/9/2018,893,1793,3593,Half1,0,1,0,1,1,0,12/30/1899 2:53:00 PM,BAL 20,10,80,(14:53) J.Flacco pass short middle to N.Boyle to BAL 45 for 25 yards (T.Edmunds; J.Poyer).,pass,25,0,0,1,0,0,0,short,middle,5,20,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,0.325659618,0.486151395,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,J.Flacco,N.Boyle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,T.Edmunds,BUF,J.Poyer,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
95,2018090900,BAL,BUF,BAL,home,BUF,BAL,55,9/9/2018,856,1756,3556,Half1,0,1,0,1,1,0,12/30/1899 2:16:00 PM,BAL 45,10,80,(14:16) (Shotgun) J.Flacco pass short middle to N.Boyle to BUF 44 for 11 yards (M.Milano; T.Edmunds).,pass,11,1,0,1,0,0,0,short,middle,5,6,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,2.579709471,0.556275735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,J.Flacco,N.Boyle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,M.Milano,BUF,T.Edmunds,BUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
120,2018090900,BAL,BUF,BAL,home,BUF,BUF,44,9/9/2018,823,1723,3523,Half1,0,1,0,1,1,0,12/30/1899 1:43:00 PM,BUF 44,10,80,"(13:43) J.Flacco FUMBLES (Aborted) at BUF 44, and recovers at 50. J.Flacco to 50 for no gain (K.Williams).",run,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,3.330930713,0.582617741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,NA,J.Flacco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.Williams,NA,NA,NA,NA,NA,NA,NA,BUF,NA,K.Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BAL,J.Flacco,NA,NA,BAL,0,J.Flacco,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
148,2018090900,BAL,BUF,BAL,home,BUF,MID,50,9/9/2018,785,1685,3485,Half1,0,1,0,1,2,0,12/30/1899 1:05:00 PM,MID 50,16,80,"(13:05) (Shotgun) A.Collins right tackle to BUF 36 for 14 yards (T.Edmunds; J.Poyer). PENALTY on BAL-A.Lewis, Offensive Holding, 10 yards, enforced at 50 - No Play.",no_play,0,1,0,0,0,0,0,NA,NA,,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,2.140347552,0.546420252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BAL,A.Lewis,10,0,NA,Offensive Holding,0,0,0,0
186,2018090900,BAL,BUF,BAL,home,BUF,BAL,60,9/9/2018,747,1647,3447,Half1,0,1,0,1,2,0,12/30/1899 12:27:00 PM,BAL 40,26,80,(12:27) (Shotgun) J.Flacco pass deep left to J.Brown to BUF 31 for 29 yards (J.Poyer).,pass,29,1,0,1,0,0,0,deep,left,27,2,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,1.063580032,0.515635874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,J.Flacco,J.Brown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,J.Poyer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
210,2018090900,BAL,BUF,BAL,home,BUF,BUF,31,9/9/2018,701,1601,3401,Half1,0,1,0,1,1,0,12/30/1899 11:41:00 AM,BUF 31,10,80,(11:41) J.Flacco pass incomplete short left to M.Crabtree.,pass,0,0,0,1,0,0,0,short,left,12,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,4.010034345,0.611068804,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,J.Flacco,M.Crabtree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
232,2018090900,BAL,BUF,BAL,home,BUF,BUF,31,9/9/2018,695,1595,3395,Half1,0,1,0,1,2,0,12/30/1899 11:35:00 AM,BUF 31,10,80,(11:35) J.Flacco pass short middle to M.Andrews to BUF 20 for 11 yards (M.Hyde).,pass,11,0,0,1,0,0,0,short,middle,10,1,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,3.535900875,0.595192676,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,J.Flacco,M.Andrews,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,M.Hyde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
256,2018090900,BAL,BUF,BAL,home,BUF,BUF,20,9/9/2018,656,1556,3356,Half1,0,1,0,1,1,0,12/30/1899 10:56:00 AM,BUF 20,10,80,"(10:56) A.Collins left end to BUF 23 for -3 yards (L.Alexander). PENALTY on BUF-T.Murphy, Defensive Offside, 5 yards, enforced at BUF 20 - No Play.",no_play,0,0,0,0,0,0,0,NA,NA,,,NA,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,4.411100442,0.626267304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,BUF,T.Murphy,5,0,NA,Defensive Offside,0,0,0,0
288,2018090900,BAL,BUF,BAL,home,BUF,BUF,15,9/9/2018,636,1536,3336,Half1,0,1,0,1,1,0,12/30/1899 10:36:00 AM,BUF 15,5,80,(10:36) Jackson in at QB; Flacco flanked out wide. (Shotgun) L.Jackson up the middle to BUF 15 for no gain (E.Yarbrough).,run,0,1,0,0,0,0,0,NA,NA,,,middle,NA,NA,,NA,NA,3,3,0,NA,NA,3,3,0,0,0,0,0,0,0,0,4.826077934,0.641285189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,L.Jackson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,BUF,NA,E.Yarbrough,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,,0,NA,NA,0,0,0,0
